name,url,description,category,test_type,duration,remote_testing,adaptive,skills,scraped_at,category_standardized,category_final,duration_minutes,combined_text,text_length,word_count,skill_count,has_description,is_adaptive,is_remote,completeness_score
branch manager - short form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,"Branch management assessment measuring leadership, sales management, operational oversight, and customer service excellence.",,Management,45.0,Yes,No,"['leadership', 'sales management', 'operations', 'customer service']",2025-11-08T22:30:05.328172,Other,Management,45.0,"Assessment: branch manager - short form | Description: Branch management assessment measuring leadership, sales management, operational oversight, and customer service excellence. | Category: Management | Duration: 45 minutes | Skills: leadership, sales management, operations, customer service",294,36,4,True,False,False,1.0
cashier solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Retail cashier assessment evaluating transaction accuracy, customer interaction, cash handling, and point-of-sale system proficiency.",,Competencies,20.0,Yes,No,"['cash handling', 'customer service', 'accuracy', 'pos systems']",2025-11-08T22:30:11.897575,Other,Competencies,20.0,"Assessment: cashier solution | Description: Retail cashier assessment evaluating transaction accuracy, customer interaction, cash handling, and point-of-sale system proficiency. | Category: Competencies | Duration: 20 minutes | Skills: cash handling, customer service, accuracy, pos systems",290,35,4,True,False,False,1.0
global skills development report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Comprehensive skills assessment and development report evaluating global competencies and creating personalized development plans.,,Knowledge & Skills,60.0,Yes,Yes,"['skill assessment', 'development planning', 'competencies', 'career growth']",2025-11-08T22:30:19.622002,Other,Knowledge & Skills,60.0,"Assessment: global skills development report | Description: Comprehensive skills assessment and development report evaluating global competencies and creating personalized development plans. | Category: Knowledge & Skills | Duration: 60 minutes | Skills: skill assessment, development planning, competencies, career growth",322,39,4,True,False,False,1.0
.net framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"Technical assessment measuring .NET Framework 4.5 proficiency including C#, ASP.NET, and framework libraries.",,Knowledge & Skills,40.0,Yes,No,"['.net', 'c#', 'asp.net', 'framework development']",2025-11-08T22:30:26.805404,Other,Knowledge & Skills,40.0,"Assessment: .net framework 4.5 | Description: Technical assessment measuring .NET Framework 4.5 proficiency including C#, ASP.NET, and framework libraries. | Category: Knowledge & Skills | Duration: 40 minutes | Skills: .net, c#, asp.net, framework development",260,35,4,True,False,False,1.0
.net mvc (new),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Assessment testing Model-View-Controller pattern implementation in .NET including routing, controllers, and views.",,Knowledge & Skills,35.0,Yes,No,"['mvc', '.net', 'web development', 'architecture patterns']",2025-11-08T22:30:34.400166,Other,Knowledge & Skills,35.0,"Assessment: .net mvc (new) | Description: Assessment testing Model-View-Controller pattern implementation in .NET including routing, controllers, and views. | Category: Knowledge & Skills | Duration: 35 minutes | Skills: mvc, .net, web development, architecture patterns",270,35,4,True,False,False,1.0
.net mvvm (new),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Evaluation of Model-View-ViewModel pattern expertise for XAML-based applications and data binding.,,Knowledge & Skills,35.0,Yes,No,"['mvvm', '.net', 'xaml', 'wpf', 'data binding']",2025-11-08T22:30:42.521748,Other,Knowledge & Skills,35.0,"Assessment: .net mvvm (new) | Description: Evaluation of Model-View-ViewModel pattern expertise for XAML-based applications and data binding. | Category: Knowledge & Skills | Duration: 35 minutes | Skills: mvvm, .net, xaml, wpf, data binding",241,34,5,True,False,False,1.0
.net wcf (new),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Windows Communication Foundation assessment measuring service-oriented architecture and distributed systems development.,,Knowledge & Skills,40.0,Yes,No,"['wcf', 'web services', 'soa', '.net']",2025-11-08T22:30:50.371942,Other,Knowledge & Skills,40.0,"Assessment: .net wcf (new) | Description: Windows Communication Foundation assessment measuring service-oriented architecture and distributed systems development. | Category: Knowledge & Skills | Duration: 40 minutes | Skills: wcf, web services, soa, .net",255,33,4,True,False,False,1.0
.net wpf (new),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Windows Presentation Foundation assessment evaluating desktop application development with XAML and rich UI capabilities.,,Knowledge & Skills,40.0,Yes,No,"['wpf', 'xaml', '.net', 'desktop development']",2025-11-08T22:30:58.855242,Other,Knowledge & Skills,40.0,"Assessment: .net wpf (new) | Description: Windows Presentation Foundation assessment evaluating desktop application development with XAML and rich UI capabilities. | Category: Knowledge & Skills | Duration: 40 minutes | Skills: wpf, xaml, .net, desktop development",264,36,4,True,False,False,1.0
.net xaml (new),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"XAML proficiency assessment measuring UI design, data binding, and declarative programming in .NET applications.",,Knowledge & Skills,30.0,Yes,No,"['xaml', 'ui design', '.net', 'data binding']",2025-11-08T22:31:06.650456,Other,Knowledge & Skills,30.0,"Assessment: .net xaml (new) | Description: XAML proficiency assessment measuring UI design, data binding, and declarative programming in .NET applications. | Category: Knowledge & Skills | Duration: 30 minutes | Skills: xaml, ui design, .net, data binding",255,37,4,True,False,False,1.0
accounts payable (new),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts payable assessment evaluating invoice processing, vendor management, payment processing, and AP best practices.",,Knowledge & Skills,30.0,Yes,No,"['accounts payable', 'invoice processing', 'vendor management', 'accounting']",2025-11-08T22:31:14.799786,Other,Knowledge & Skills,30.0,"Assessment: accounts payable (new) | Description: Accounts payable assessment evaluating invoice processing, vendor management, payment processing, and AP best practices. | Category: Knowledge & Skills | Duration: 30 minutes | Skills: accounts payable, invoice processing, vendor management, accounting",302,38,4,True,False,False,1.0
accounts payable simulation (new),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"Interactive simulation of accounts payable scenarios including invoice matching, approval workflows, and payment scheduling.",,Simulations,45.0,Yes,No,"['accounts payable', 'simulation', 'workflow management', 'problem solving']",2025-11-08T22:31:23.058173,Other,Simulations,45.0,"Assessment: accounts payable simulation (new) | Description: Interactive simulation of accounts payable scenarios including invoice matching, approval workflows, and payment scheduling. | Category: Simulations | Duration: 45 minutes | Skills: accounts payable, simulation, workflow management, problem solving",309,37,4,True,False,False,1.0
accounts receivable (new),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"Accounts receivable assessment measuring collections, credit management, customer billing, and AR reconciliation skills.",,Knowledge & Skills,30.0,Yes,No,"['accounts receivable', 'collections', 'billing', 'credit management']",2025-11-08T22:31:30.733422,Other,Knowledge & Skills,30.0,"Assessment: accounts receivable (new) | Description: Accounts receivable assessment measuring collections, credit management, customer billing, and AR reconciliation skills. | Category: Knowledge & Skills | Duration: 30 minutes | Skills: accounts receivable, collections, billing, credit management",298,36,4,True,False,False,1.0
accounts receivable simulation (new),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"Practical simulation of AR processes including customer communications, aging reports, and payment application scenarios.",,Simulations,45.0,Yes,No,"['accounts receivable', 'simulation', 'customer communication', 'reconciliation']",2025-11-08T22:31:39.070559,Other,Simulations,45.0,"Assessment: accounts receivable simulation (new) | Description: Practical simulation of AR processes including customer communications, aging reports, and payment application scenarios. | Category: Simulations | Duration: 45 minutes | Skills: accounts receivable, simulation, customer communication, reconciliation",314,36,4,True,False,False,1.0
ado.net (new),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET assessment testing data access proficiency including DataSets, DataReaders, connection management, and database operations.",,Knowledge & Skills,35.0,Yes,No,"['ado.net', 'database', 'data access', '.net']",2025-11-08T22:31:46.667352,Other,Knowledge & Skills,35.0,"Assessment: ado.net (new) | Description: ADO.NET assessment testing data access proficiency including DataSets, DataReaders, connection management, and database operations. | Category: Knowledge & Skills | Duration: 35 minutes | Skills: ado.net, database, data access, .net",273,35,4,True,False,False,1.0
